Subject AB101128, Day 2, 29-Nov-2010 16:32:37
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 29-Nov-2010 17:01:23
6,     663,     Neut,      Distr,      targNW,     L,      0.038449,     cueDI,      2,           pcNW,           L,     1,     0.5161
6,     664,     Fear,      Inval,      targNE,     L,      0.22052,     cueSE,      9,           pcNE,           L,     1,     0.3949
6,     665,     Neut,      Distr,      targNE,     R,      0.038449,     cueDI,      11,           pcNE,           R,     1,     0.3313
6,     666,     Neut,      Inval,      targSW,     R,      0.22052,     cueSE,      5,           pcSW,           R,     1,     0.3789
6,     667,     Neut,      Distr,      targSE,     R,      0.02148,     cueDI,      9,           pcSE,           L,     0,     0.4443
6,     668,     Neut,      Inval,      targNE,     R,      0.1232,     cueSE,      11,           pcNE,           R,     1,     0.4431
6,     669,     Fear,      Inval,      targNW,     R,      0.39473,     cueSE,      7,           pcNW,           R,     1,     0.4605
6,     670,     Fear,      Valid,      targNW,     R,      0.02148,     cueNW,      2,           pcNW,           R,     1,     0.3629
6,     671,     Neut,      Distr,      targNE,     L,      0.02148,     cueDI,      6,           pcNE,           R,     0,     0.3072
6,     672,     Fear,      Distr,      targNE,     R,      0.068824,     cueDI,      1,           pcNE,           L,     0,     0.3330

Block 7, Start Time = 29-Nov-2010 17:17:30
7,     673,     Neut,      Valid,      targSW,     L,      0.068824,     cueSW,      1,           pcSW,           L,     1,     0.5678
7,     674,     Neut,      Valid,      targSE,     R,      0.02148,     cueSE,      3,           pcSE,           R,     1,     0.3835
7,     675,     Neut,      Valid,      targSW,     R,      0.02148,     cueSW,      2,           pcSW,           L,     0,     0.3060
7,     676,     Fear,      Inval,      targNE,     R,      0.1232,     cueNW,      10,           pcNE,           R,     1,     0.7930
7,     677,     Fear,      Distr,      targNE,     L,      0.1232,     cueDI,      11,           pcNE,           R,     0,     0.3535
7,     678,     Fear,      Inval,      targSW,     L,      0.22052,     cueNE,      8,           pcSW,           L,     1,     0.4582
7,     679,     Neut,      Distr,      targSE,     R,      0.068824,     cueDI,      3,           pcSE,           R,     1,     0.3844
7,     680,     Fear,      Distr,      targSE,     L,      0.012,     cueDI,      1,           pcSE,           L,     1,     0.4021
7,     681,     Neut,      Inval,      targSE,     R,      0.39473,     cueNE,      3,           pcSE,           R,     1,     0.2882
7,     682,     Fear,      Inval,      targNE,     R,      0.22052,     cueNW,      6,           pcNE,           R,     1,     0.4343
7,     683,     Fear,      Valid,      targNE,     L,      0.02148,     cueNE,      4,           pcNE,           L,     1,     0.4336
7,     684,     Fear,      Valid,      targSE,     L,      0.02148,     cueSE,      2,           pcSE,           L,     1,     0.4162
7,     685,     Fear,      Valid,      targNW,     R,      0.22052,     cueNW,      7,           pcNW,           R,     1,     0.5140
7,     686,     Neut,      Distr,      targSW,     L,      0.22052,     cueDI,      6,           pcSW,           L,     1,     0.3934
7,     687,     Fear,      Inval,      targNW,     R,      0.1232,     cueSW,      4,           pcNW,           R,     1,     0.4801
