Subject AB101128, 28-Nov-2010 19:13:51, Gabor Tilt = 4
trial	 cue	 validity	 targLoc	 tilt	 cueLoc	 contrast	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:16:28
    185,    Dot,      Valid,        targSW,       L,      cueSW,           0.065615,           pcSW,           L,        1,   0.2299
    186,    Dot,      Inval,        targSE,       R,      cueNE,           0.01708,           pcSE,           R,        1,   0.2706
    187,    Dot,      Valid,        targNW,       L,      cueNW,           0.0122,           pcNW,           L,        1,   0.3096
    188,    Dot,      Distr,        targSE,       L,      cueDI,           0.69167,           pcSE,           L,        1,   0.3251
    189,    Dot,      Inval,        targSE,       L,      cueSW,           0.25206,           pcSE,           L,        1,   0.3823
    190,    Dot,      Valid,        targSW,       R,      cueSW,           0.033477,           pcSW,           R,        1,   0.3748
    191,    Dot,      Inval,        targSW,       L,      cueNE,           0.25206,           pcSW,           L,        1,   0.5816
    192,    Dot,      Inval,        targSW,       L,      cueNW,           0.69167,           pcSW,           L,        1,   0.5341
    193,    Dot,      Distr,        targNW,       R,      cueDI,           0.033477,           pcNW,           R,        1,   0.3911
    194,    Dot,      Distr,        targNE,       L,      cueDI,           0.023912,           pcNE,           R,        0,   0.3427
    195,    Dot,      Valid,        targSE,       R,      cueSE,           0.18005,           pcSE,           R,        1,   0.4309
    196,    Dot,      Inval,        targNW,       R,      cueSE,           0.96833,           pcNW,           R,        1,   0.5514
    197,    Dot,      Valid,        targNE,       L,      cueNE,           0.09186,           pcNE,           R,        0,   0.4307
    198,    Dot,      Valid,        targSE,       L,      cueSE,           0.065615,           pcSE,           L,        1,   0.3342
    199,    Dot,      Distr,        targNE,       L,      cueDI,           0.96833,           pcNE,           R,        0,   0.5266
    200,    Dot,      Distr,        targNW,       R,      cueDI,           0.065615,           pcNW,           R,        1,   0.5437
    201,    Dot,      Valid,        targSE,       R,      cueSE,           0.69167,           pcSE,           R,        1,   0.3821
    202,    Dot,      Valid,        targNE,       L,      cueNE,           0.0122,           pcNE,           L,        1,   0.5021
    203,    Dot,      Distr,        targSE,       R,      cueDI,           0.046868,           pcSE,           R,        1,   0.5175
    204,    Dot,      Inval,        targNW,       R,      cueSW,           0.49405,           pcNW,           R,        1,   0.5423
    205,    Dot,      Distr,        targNE,       R,      cueDI,           0.69167,           pcNE,           R,        1,   0.4140
    206,    Dot,      Distr,        targSW,       R,      cueDI,           0.1286,           pcSW,           R,        1,   0.4139
    207,    Dot,      Distr,        targSW,       L,      cueDI,           0.69167,           pcSW,           L,        1,   0.4955
    208,    Dot,      Distr,        targNW,       R,      cueDI,           0.09186,           pcNW,           R,        1,   0.6060
    209,    Dot,      Distr,        targSW,       L,      cueDI,           0.09186,           pcSW,           L,        1,   0.4863
    210,    Dot,      Inval,        targSW,       L,      cueNW,           0.01708,           pcSW,           L,        1,   0.4063
    211,    Dot,      Inval,        targNW,       L,      cueNE,           0.033477,           pcNW,           L,        1,   0.4384
    212,    Dot,      Inval,        targSW,       L,      cueNW,           0.065615,           pcSW,           L,        1,   0.3996
    213,    Dot,      Inval,        targNW,       L,      cueSW,           0.046868,           pcNW,           R,        0,   0.4718
    214,    Dot,      Distr,        targSE,       R,      cueDI,           0.023912,           pcSE,           L,        0,   0.3180
    215,    Dot,      Inval,        targSW,       R,      cueNE,           0.96833,           pcSW,           R,        1,   0.3345
    216,    Dot,      Distr,        targSW,       L,      cueDI,           0.25206,           pcSW,           L,        1,   0.4140
    217,    Dot,      Distr,        targSE,       L,      cueDI,           0.033477,           pcSE,           L,        1,   0.5115
    218,    Dot,      Inval,        targNE,       R,      cueSW,           0.0122,           pcNE,           R,        1,   0.2225
    219,    Dot,      Distr,        targNW,       L,      cueDI,           0.09186,           pcNW,           L,        1,   0.5667
    220,    Dot,      Valid,        targNW,       R,      cueNW,           0.01708,           pcNW,           R,        1,   0.2226
    221,    Dot,      Valid,        targNE,       R,      cueNE,           0.25206,           pcNE,           R,        1,   0.4005
    222,    Dot,      Inval,        targSE,       R,      cueNE,           0.35289,           pcSE,           R,        1,   0.4471
    223,    Dot,      Valid,        targSW,       L,      cueSW,           0.09186,           pcSW,           L,        1,   0.2873
    224,    Dot,      Inval,        targSW,       L,      cueNE,           0.1286,           pcSW,           L,        1,   0.3523

Block 3 Start Time = 28-Nov-2010 19:29:06
    225,    Dot,      Distr,        targNW,       L,      cueDI,           0.023912,           pcNW,           L,        1,   1.1051
    226,    Dot,      Distr,        targSW,       L,      cueDI,           0.033477,           pcSW,           L,        1,   0.4009
    227,    Dot,      Valid,        targNE,       L,      cueNE,           0.065615,           pcNE,           L,        1,   0.5688
    228,    Dot,      Inval,        targSE,       R,      cueNE,           0.023912,           pcSE,           R,        1,   0.3367
    229,    Dot,      Valid,        targNE,       L,      cueNE,           0.046868,           pcNE,           L,        1,   0.5053
    230,    Dot,      Valid,        targNW,       R,      cueNW,           0.25206,           pcNW,           R,        1,   0.4086
    231,    Dot,      Inval,        targSW,       R,      cueSE,           0.25206,           pcSW,           R,        1,   0.3857
    232,    Dot,      Inval,        targSE,       L,      cueNE,           0.35289,           pcSE,           L,        1,   0.3049
    233,    Dot,      Inval,        targSE,       L,      cueNW,           0.01708,           pcSE,           R,        0,   0.3383
    234,    Dot,      Valid,        targSE,       L,      cueSE,           0.18005,           pcSE,           L,        1,   0.2735
    235,    Dot,      Valid,        targSE,       R,      cueSE,           0.25206,           pcSE,           R,        1,   0.3049
    236,    Dot,      Valid,        targSW,       L,      cueSW,           0.49405,           pcSW,           L,        1,   0.2982
    237,    Dot,      Valid,        targSE,       R,      cueSE,           0.96833,           pcSE,           R,        1,   0.3445
    238,    Dot,      Valid,        targSW,       R,      cueSW,           0.18005,           pcSW,           R,        1,   0.3780
    239,    Dot,      Valid,        targSW,       L,      cueSW,           0.96833,           pcSW,           L,        1,   0.2893
    240,    Dot,      Valid,        targSW,       R,      cueSW,           0.1286,           pcSW,           R,        1,   0.3206
    241,    Dot,      Valid,        targNW,       L,      cueNW,           0.023912,           pcNW,           L,        1,   0.3696
    242,    Dot,      Valid,        targNW,       R,      cueNW,           0.1286,           pcNW,           R,        1,   0.4568
    243,    Dot,      Distr,        targSE,       R,      cueDI,           0.35289,           pcSE,           R,        1,   0.3700
